measure_title,jurisdiction,description,County
JAMES  ATHANS JR.,Governor,Real Estate Agent,Alameda
LARRY  AZEVEDO,Governor,Businessman,Alameda
NAOMI  BAR-LEV,Governor,Musician/Proprietor/Writer,Alameda
XAVIER  BECERRA,Governor,Voting Rights Attorney,Alameda
CHAD  BIANCO,Governor,Riverside County Sheriff,Alameda
CAROLINA  BUHLER,Governor,Civil Rights Advocate,Alameda
JOSEPH  CABRERA,Governor,Business Administrator,Alameda
ELAINE  CULOTTI,Governor,Entrepreneur/Farmer/Developer,Alameda
PATRICIA  DE LUCA BASUALDO,Governor,Real Estate Broker,Alameda
LOUIS A. DE BARRAICUA,Governor,Teacher/Business Owner,Alameda
LIVINGFORGOD ANDCOUNTRY DEMOTT,Governor,Logistical Professional/Chaplain,Alameda
RANDEEP S. DHILLON,Governor,Economist/Farmer/Businessman,Alameda
SERGE  FIANKAN,Governor,Real Estate Broker,Alameda
LUKASZ ADAM FILINSKI,Governor,Father,Alameda
MAX  FOMIN,Governor,Business Owner/Father,Alameda
SAM  SANDAK,Governor,Filmmaker,Alameda
DEREK  GRASTY,Governor,District Trustee/Educator,Alameda
DON J. GRUNDMANN,Governor,Doctor of Chiropractic,Alameda
JON  HENDERSON,Governor,Business Owner,Alameda
LEWIS  HERMS,Governor,No Ballot Designation,Alameda
RAFAEL M. HERNANDEZ,Governor,Businessman/Songwriter/Author,Alameda
STEVE  HILTON,Governor,Small Business Owner,Alameda
JOEL E. JACOB,Governor,Business Owner/Entrepreneur,Alameda
DAWIT  KELLEL,Governor,Father,Alameda
GARY HOWARD KIDGELL,Governor,Building Consultant,Alameda
ANNE  KOMAROVSK,Governor,Communications Executive,Alameda
ALICIA OLIVIA  LAPP,Governor,No Ballot Designation,Alameda
MATTHEW CHASE LEVY,Governor,Entrepreneur/Physicist,Alameda
DUANE TERRENCE LOYNES JR.,Governor,No Ballot Designation,Alameda
MATT  MAHAN,Governor,"Mayor, San Jose",Alameda
AMANDA  MARTIN,Governor,Mother/Builder/Entrepreneur,Alameda
BRENT  MAUPIN,Governor,Civil Engineer,Alameda
DANIEL  MERCURI,Governor,Father/Author/Businessman,Alameda
LEO  NARANJO IV,Governor,Retired Military Sergeant,Alameda
TIM  NELSON,Governor,Diplomat/Rights Advocate,Alameda
BARACK D.  OBAMA SHAW,Governor,Business Owner,Alameda
MAURO ALBERTO OROZCO,Governor,Small Business Owner,Alameda
THUNDER  PARLEY,Governor,Market Analyst,Alameda
KATIE  PORTER,Governor,Consumer Protection Advocate,Alameda
RAJI  RAB,Governor,Aviator/Educator/Entrepreneur,Alameda
SATISH  RAO,Governor,Professor,Alameda
RAMSEY  ROBINSON,Governor,School Social Worker,Alameda
REZA  SAFARNEJAD,Governor,Small Business Owner,Alameda
SOPHIA  EDUM-A-SAM,Governor,Project Manager,Alameda
CHRISTINE R. SARMIENTO,Governor,Public Health Nurse,Alameda
FREDERIC C.  SCHULTZ,Governor,Human Rights Attorney,Alameda
SCOTT P SHIELDS,Governor,Chief Executive Officer,Alameda
GRETHA  SOLÓRZANO,Governor,Retired Nuclear Engineer,Alameda
TOM  STEYER,Governor,Climate Advocate,Alameda
ERIC  SWALWELL,Governor,U.S. Representative,Alameda
TONY K. THURMOND,Governor,California State Superintendent of Public Instruction,Alameda
MARGARET  TROWE,Governor,Hotel Worker,Alameda
ANTONIO  VILLARAIGOSA,Governor,Housing Affordability Advocate,Alameda
TOM  WOODARD,Governor,Retired CEO,Alameda
BETTY T.  YEE,Governor,Family Care Navigator,Alameda
NANCY D. YOUNG,Governor,CEO/Businesswoman/Pastor,Alameda
LEO SAMUEL ZACKY,Governor,Farmer/Businessman/Broadcaster,Alameda
"ERIN ""ZEZ"" ZEZULAK",Governor,Consultant/Nurse/Businesswoman,Alameda
DAVID  ZICKEFOOSE,Governor,Real Estate Investor,Alameda
EBIE  LYNCH,Lieutenant Governor,Business Owner/Nurse,Alameda
RAKESH  CHRISTIAN,Lieutenant Governor,Business Owner,Alameda
DAVID  COLLENBERG,Lieutenant Governor,Farmer/Business Owner,Alameda
SEAN  COLLINSON,Lieutenant Governor,Mediator,Alameda
DAVID  FENNELL,Lieutenant Governor,Businessman,Alameda
JOSH  FRYDAY,Lieutenant Governor,Governor's Cabinet Member,Alameda
JANELLE  KELLMAN,Lieutenant Governor,Climate Risk Executive,Alameda
JEYSON  LOPEZ,Lieutenant Governor,Customer Experience Consultant,Alameda
FIONA  MA,Lieutenant Governor,State Treasurer/CPA,Alameda
OLIVER  MA,Lieutenant Governor,Civil Rights Lawyer,Alameda
TIM  MYERS,Lieutenant Governor,Businessman/Musician/Producer,Alameda
GLORIA  ROMERO,Lieutenant Governor,Educator/Businesswoman,Alameda
SKIP  SHELTON,Lieutenant Governor,Defense Technology Executive,Alameda
ABDUR RAHMAN SIKDER,Lieutenant Governor,Professor,Alameda
ALICE  STEK,Lieutenant Governor,Physician/OBGYN,Alameda
MICHAEL  TUBBS,Lieutenant Governor,Anti-Poverty Non-Profit Director,Alameda
GARY N. BLENNER,Secretary Of State,Teacher,Alameda
MICHAEL  FEINSTEIN,Secretary Of State,Electoral Reform Consultant,Alameda
DONALD P. (DON) WAGNER,Secretary Of State,Orange County Supervisor,Alameda
SHIRLEY N. WEBER,Secretary Of State,California Secretary of State,Alameda
MEGHANN  ADAMS,Controller,School Bus Driver,Alameda
MALIA M. COHEN,Controller,State Controller/Mother,Alameda
HERB W MORGAN,Controller,Chief Investment Officer,Alameda
ANNA M. CABALLERO,Treasurer,California State Senator,Alameda
JENNIFER  HAWKS,Treasurer,Retired Businesswoman,Alameda
ELENI  KOUNALAKIS,Treasurer,Lieutenant Governor of California,Alameda
DAVID  SERPA,Treasurer,Businessman/Author/Father,Alameda
GLENN  TURNER,Treasurer,No Ballot Designation,Alameda
TONY  VAZQUEZ,Treasurer,"Member, State Board of Equalization",Alameda
ROB  BONTA,Attorney General,Incumbent,Alameda
MICHAEL E. GATES,Attorney General,Deputy United States Attorney,Alameda
MARJORIE  MIKELS,Attorney General,Attorney/Justice Advocate,Alameda
ERIC THOR  AARNIO,Insurance Commissioner,Contractor,Alameda
BEN  ALLEN,Insurance Commissioner,California State Senator,Alameda
STEVEN CRAIG BRADFORD,Insurance Commissioner,Education Organization Boardmember,Alameda
KEITH W. DAVIS,Insurance Commissioner,Insurance Agent,Alameda
MERRITT  FARREN,Insurance Commissioner,Consumer Advocate/Attorney,Alameda
ROBERT P HOWELL,Insurance Commissioner,Cybersecurity Company CEO,Alameda
JANE  KIM,Insurance Commissioner,Attorney/Consumer Advocate,Alameda
STACY A. KORSGADEN,Insurance Commissioner,Licensed Insurance Agent,Alameda
SEAN  LEE,Insurance Commissioner,Financial Services Executive,Alameda
"EDUARDO ""LALO"" VARGAS",Insurance Commissioner,Science Teacher,Alameda
PATRICK  WOLFF,Insurance Commissioner,Financial Analyst,Alameda
SALLY J.  LIEBER,"Member, State Board Of Equalization, 2nd District","Member, State Board of Equalization",Alameda
J BRETT  MARYMEE,"Member, State Board Of Equalization, 2nd District",Small Business Owner,Alameda
MARK  MCCOMAS,"Member, State Board Of Equalization, 2nd District",Small Business Advocate,Alameda
JOHN  PIMENTEL,"Member, State Board Of Equalization, 2nd District","Member, Board of Trustees, San Mateo County Community College District",Alameda
BILL  SHIREMAN,"Member, State Board Of Equalization, 2nd District",Taxpayer Advocate,Alameda
JOHN W. ZARUKA,"Member, State Board Of Equalization, 2nd District",Retired Hospitality Executive,Alameda
MARK  DESAULNIER,10th Congressional District,United States Congressman,Alameda
JEFF  FRESE,10th Congressional District,Small Business Owner,Alameda
ANGELA  GRIFFITHS,10th Congressional District,Functional Medicine Practitioner,Alameda
JOSHUA  HAMILTON,10th Congressional District,Entrepreneur/Community Organizer,Alameda
MITCHELL  MAISLER,10th Congressional District,Brewer,Alameda
KATHERINE  PICCININI,10th Congressional District,Retired Businesswoman,Alameda
BOB  ROWLAND,10th Congressional District,Commercial Land Broker,Alameda
JAMIE  JOYCE,12th Congressional District,Nonprofit Executive Director,Alameda
LATEEFAH  SIMON,12th Congressional District,U.S. Representative,Alameda
STEVE  SLAUSON,12th Congressional District,Write-In Candidate,Alameda
"VICTOR  AGUILAR, JR.",14th Congressional District,San Leandro City Council Member,Alameda
SUZANNE  CHENAULT,14th Congressional District,Lawyer/Teacher/Parent,Alameda
CARIN  ELAM,14th Congressional District,Businesswoman/Nonprofit Director,Alameda
MELISSA  HERNANDEZ,14th Congressional District,Healthcare Services Director,Alameda
WENDY  HUANG,14th Congressional District,Real Estate Investor,Alameda
DENA  MALDONADO,14th Congressional District,Business Owner/Florist,Alameda
MATT  ORTEGA,14th Congressional District,Graphic Designer/Businessman,Alameda
RAKHI ISRANI  SINGH,14th Congressional District,Educator/Nonprofit Attorney,Alameda
AISHA  WAHAB,14th Congressional District,State Senator,Alameda
ETHAN  AGARWAL,17th Congressional District,Small Business Owner,Alameda
JOE  DEHN,17th Congressional District,Square Dance Caller,Alameda
MIKE  KATZ,17th Congressional District,Cybersecurity Engineer/Researcher,Alameda
RO  KHANNA,17th Congressional District,United States Congressmember,Alameda
JENNIE HA  PHAN,17th Congressional District,Retired Accountant,Alameda
RITESH  TANDON,17th Congressional District,CEO/Entrepreneur/Researcher,Alameda
DAVID  COHEN,10th State Senate District,City Councilmember,Alameda
ANNE  KEPNER,10th State Senate District,College Trustee/Mother,Alameda
RAYMOND  LIU,10th State Senate District,Fremont City Councilman,Alameda
CARMEN  MONTANO,10th State Senate District,Mayor,Alameda
LINDA R. PRICE,10th State Senate District,Businesswoman,Alameda
SCOTT  SAKAKIHARA,10th State Senate District,Councilmember/Navy Officer,Alameda
MARK  RENDON,14th Assembly District,Teacher,Alameda
BORGAR  SOLNORDAL,14th Assembly District,Sunday School Teacher,Alameda
BUFFY  WICKS,14th Assembly District,Assemblymember/Mom,Alameda
REBECCA  BAUER-KAHAN,16th Assembly District,Assemblymember/Mother,Alameda
CHIRAG  KATHRANI,16th Assembly District,Civic Technology Entrepreneur,Alameda
JOSEPH A. RUBAY,16th Assembly District,Businessman/Father,Alameda
MIA  BONTA,18th Assembly District,"California State Assemblymember, Assembly District 18",Alameda
MICHAEL  GOLDSTEIN,18th Assembly District,Author/Political Commentator,Alameda
NED  NUERGE,18th Assembly District,Retired Driving Instructor,Alameda
ANDRE  SANDFORD,18th Assembly District,Housing Program Director,Alameda
PATRICIA  MUGA,20th Assembly District,Real Estate Appraiser,Alameda
LIZ  ORTEGA,20th Assembly District,Assemblymember,Alameda
MAX  HSIA,24th Assembly District,Small Business Owner,Alameda
ALEX  LEE,24th Assembly District,State Assemblymember,Alameda
YANG  SHAO,24th Assembly District,City of Fremont Councilmember,Alameda
CABRAL  BONNER,"Superior Court Judge, Office #13",Civil Rights Attorney,Alameda
MICHAEL P. JOHNSON,"Superior Court Judge, Office #13",Consumer Protection Attorney,Alameda
PATRICIA  MILES,"Superior Court Judge, Office #19",Administrative Law Judge,Alameda
SELIA  WARREN,"Superior Court Judge, Office #19",Trial Attorney,Alameda
RICHARD  BARRERA,State Superintendent Of Public Instruction,State Superintendent Advisor,Alameda
WENDY  CASTANEDA LEAL,State Superintendent Of Public Instruction,School District Superintendent,Alameda
NICHELLE M. HENDERSON,State Superintendent Of Public Instruction,College Trustee/Teacher,Alameda
FRANK  LARA,State Superintendent Of Public Instruction,Teacher/Union VP,Alameda
AINYE  LONG,State Superintendent Of Public Instruction,Public School Teacher,Alameda
GUS  MATTAMMAL,State Superintendent Of Public Instruction,Educator/Executive/Author,Alameda
AL  MURATSUCHI,State Superintendent Of Public Instruction,Assemblymember/Classroom Educator,Alameda
JOSH  NEWMAN,State Superintendent Of Public Instruction,Educator/Strategic Advisor,Alameda
ANTHONY  RENDON,State Superintendent Of Public Instruction,Democracy Advocate/Educator,Alameda
SONJA  SHAW,State Superintendent Of Public Instruction,School District President,Alameda
ALYSSE  CASTRO,County Superintendent Of Schools,Alameda County Superintendent of Schools,Alameda
JOSEPH  GRCAR,"Member, Board Of Education, 4th Trustee Area",Retired Laboratory Scientist,Alameda
MARK  HARVEY,"Member, Board Of Education, 4th Trustee Area",Consultant/Father/Businessowner,Alameda
AISHA  KNOWLES,"Member, Board Of Education, 4th Trustee Area","Alameda County Board of Education, Trustee Area 4",Alameda
LUIS  REYNOSO,"Member, Board Of Education, 4th Trustee Area",University Business Professor,Alameda
CHERYL  COOK-KALLIO,"Member, Board Of Education, 7th Trustee Area",Alameda County Board of Education Trustee,Alameda
SANGEETHA  SHANBHOGUE,"Member, Board Of Education, 7th Trustee Area",Parent/Homemaker,Alameda
LIZ  AMES,"Supervisor, 2nd District",Engineer/BART Director,Alameda
ROHAN  MARFATIA,"Supervisor, 2nd District",Business Executive/Parent,Alameda
ELISA  MÁRQUEZ,"Supervisor, 2nd District",Alameda County Supervisor,Alameda
LENA  TAM,"Supervisor, 3rd District",Alameda County Supervisor,Alameda
URSULA  JONES DICKSON,District Attorney,Appointed Alameda County District Attorney,Alameda
GOPAL  KRISHAN,District Attorney,Trial Attorney,Alameda
PAMELA  PRICE,District Attorney,Civil Rights Attorney,Alameda
SEEMA  BADAR,"Flood Control & Water Conservation District Director, Zone 7",Community Volunteer,Alameda
ALAN  BURNHAM,"Flood Control & Water Conservation District Director, Zone 7",Chemist/Business Owner,Alameda
JIM  LEHRMAN,"Flood Control & Water Conservation District Director, Zone 7",Hydrogeologist/Geologist,Alameda
PATRICIA  MUGA,"Flood Control & Water Conservation District Director, Zone 7",Real Estate Appraiser,Alameda
SARAH  PALMER,"Flood Control & Water Conservation District Director, Zone 7",Incumbent,Alameda
RISH  RAO,"Flood Control & Water Conservation District Director, Zone 7",Educator,Alameda
SEAN  ROBERTS,"Flood Control & Water Conservation District Director, Zone 7",Computer Engineer,Alameda
HEIDI  TURNER-ZIKA,"Flood Control & Water Conservation District Director, Zone 7",Information Security Officer,Alameda
Nicolas Carjuzaa,"United States Representative, District 8",Financial Regulatory Analyst,Contra Costa
John Garamendi,"United States Representative, District 8",Member of Congress,Contra Costa
Aaron Rowden,"United States Representative, District 8",Policy Analyst,Contra Costa
Mark DeSaulnier,"United States Representative, District 10",United States Congressman,Contra Costa
Mitchell Maisler,"United States Representative, District 10",Brewer,Contra Costa
Bob Rowland,"United States Representative, District 10",Commercial Land Broker,Contra Costa
Kismat Kathrani,County Assessor,Software Technology Entrepreneur,Contra Costa
Kristin Braun Connelly,County Clerk-Recorder,Contra Costa County Clerk-Recorder,Contra Costa
Dana Eaton,County Superintendent of Schools,"Superintendent, Brentwood USD",Contra Costa
Lori D Wilson,"State Assembly Member, District 11","Assemblymember, 11th District",Contra Costa
Buffy Wicks,"State Assembly Member, District 14",Assemblymember/Mom,Contra Costa
Rebecca Bauer-Kahan,"Member of the State Assembly, District 16",Assemblymember/Mother,Contra Costa
Chirag Kathrani,"Member of the State Assembly, District 16",Civic Technology Entrepreneur,Contra Costa
Vince Robb,County Assessor,Assistant County Assessor,Contra Costa
Nick Spinner,County Assessor,Senior Systems Engineer,Contra Costa
Jesse J. Hsieh,Judge of the Superior Court,Superior Court Judge,Contra Costa
Eduardo Martinez,"City of Richmond, Mayor","Mayor, City of Richmond",Contra Costa
Demnlus Johnson III,"City of Richmond, Mayor",Policy Analyst,Contra Costa
Claudia Jiménez,"City of Richmond, Mayor","Councilmember, City of Richmond",Contra Costa
Ahmad Anderson,"City of Richmond, Mayor",Human Resources Director,Contra Costa
Cesar Zepeda,"City of Richmond, Council District 2","Councilmember, City of Richmond, D2",Contra Costa
Doria Robinson,"City of Richmond, Council District 3","City Councilmember, City of Richmond",Contra Costa
Brandon Evans,"City of Richmond, Council District 3",Chief Executive Officer,Contra Costa
Measure A,County of Contra Costa,"Shall the measure amending the Contra Costa County General Plan and the County’s 65/35 Land Preservation Plan Ordinance to continue protections to the County’s non-urban, agricultural, and open space areas by extending the term of the County’s Urban Limit Line through December 31, 2051; adopting an updated Urban Limit Line map; requiring voter approval, except under limited circumstances, to expand the Urban Limit Line by more than 30 acres; and retaining the 65/35 Land Preservation Standard, be adopted?",Contra Costa
Measure B,County of Contra Costa,"To help Contra Costa County address cuts in federal funding; support local services such as health care, supplemental food assistance, and other general county services; shall Contra Costa County adopt a five-eighths of one cent (0.625%) temporary general sales tax for 5 years, providing an estimated $150,000,000 annually, and subject to annual audits?",Contra Costa
Measure C,City of El Cerrito,"Shall the measure to fund planning/construction/furnishing a new El Cerrito library, including a new building, and the City’s library operating costs for ten years after completing construction, by authorizing an annual parcel tax of up to $0.17 per square foot of improvements ($100 per vacant parcel), subject to annual inflation adjustments, generating approximately $3,100,000 annually, expiring 30 years after the initial issuance of bonds, with independent audits/citizen oversight and senior exemptions, be adopted?",Contra Costa
Measure D,City of Pinole,Shall the electors elect a mayor and four city council members?,Contra Costa
Measure E,City of Pinole,Shall the term of office of mayor be two years?,Contra Costa
Measure F,City of Pinole,Shall the term of office of mayor be four years?,Contra Costa
Measure G,Contra Costa Community College District,"To prepare students at Contra Costa, Diablo Valley, and Los Medanos Colleges for jobs and university transfer; update classrooms for science, nursing, and emergency response programs; meet earthquake, fire, and accessibility codes; repair outdated electrical, plumbing/ventilation systems; shall Contra Costa Community College District’s measure be adopted, authorizing $920,000,000 in bonds at legal rates, levying approximately $10 per $100,000 of assessed valuation, generating $57,000,000 annually while bonds are outstanding, with oversight, audits, no administrator salaries, and all funds used locally?",Contra Costa
Measure H,Lafayette School District,"Shall the measure to continue funding for core academic programs including math, science, engineering, technology, reading, music, and arts; attract and retain highly qualified teachers; and maintain manageable class sizes in Lafayette elementary and middle schools, by replacing the expiring school parcel tax with $585 per parcel for 9 years, providing $5.1 million annually in locally controlled funding with an exemption for seniors, annual inflation adjustments, independent audits, and community oversight, be adopted?",Contra Costa
Measure I,Moraga School District,"Shall the local school funding measure to attract and retain the best qualified teachers, continue effective science, technology, engineering, math, arts, music and reading programs, maintain manageable class sizes and prevent academic cuts and teacher/educator layoffs by levying $295 per parcel, providing $1,700,000 annually, for 7 years, with senior exemptions, inflation adjustments, independent oversight, audits, and all funds supporting local elementary and middle school students, be adopted?",Contra Costa
Measure J,Oakley Union Elementary School District,"To provide safe elementary/middle schools by upgrading to current earthquake/building safety codes; improving school security, classroom locks, fencing, lighting, emergency communications, and cameras; and upgrading fire safety, alarms, smoke detectors, sprinklers, and evacuation routes; shall Oakley Union Elementary School District’s measure be adopted authorizing $59,000,000 in bonds at legal rates, levying $28 per $100,000 of assessed value ($4,000,000 annually) while bonds are outstanding, requiring independent oversight, audits, and all funds locally controlled?",Contra Costa
Measure K,Oakley Union Elementary School District,"To repair local elementary/middle schools by fixing deteriorating plumbing, roofs, heating, ventilation, and electrical systems; removing lead/asbestos/hazardous materials; and upgrading aging classrooms/labs supporting student achievement in math, science, technology, reading, writing, arts/music; shall Oakley Union Elementary School District’s measure be adopted authorizing $64,000,000 in bonds at legal rates, levying $30 per $100,000 of assessed value ($4,400,000 annually) while bonds are outstanding, requiring independent oversight and all funds locally controlled?",Contra Costa
Measure L,Walnut Creek School District,"Shall Walnut Creek School District’s measure providing locally-controlled funding for quality academic programs in math, science, engineering, technology, reading, music/arts preparing students for high school, college, and careers; attract/retain qualified teachers; and maintain manageable class sizes by levying a $98 parcel tax for nine years, with senior exemptions, annual inflation adjustments, independent audits/oversight, and all funds (approximately $1,500,000 annually) benefiting local elementary and middle school students, be adopted?",Contra Costa
"John ""Joya"" Gioia","Supervisor, 1st District",County Supervisor,Contra Costa
Jamin Pursell,"City of Richmond, Council District 4",Small Business CEO,Contra Costa
Soheila Bana,"City of Richmond, Council District 4",Councilmember,Contra Costa
Janelle Kellman,Lieutenant Governor,Climate Risk Executive,Marin
Jared Huffman,United States Representative - District 2,U. S. Representative,Marin
Gregory Burgess,United States Representative - District 2,Elder Caregiver,Marin
Nicolette Hahn Niman,United States Representative - District 2,Author / Rancher / Lawyer,Marin
Damon Connolly,State Senator - District 2,California State Assemblymember,Marin
Tief Gibbs,State Senator - District 2,Small Businesswoman,Marin
Eli Beckman,Member of the State Assembly - District 12,Councilmember / Business Owner,Marin
Eryn Cervantes,Member of the State Assembly - District 12,Correctional Counselor,Marin
Eric Lucan,Member of the State Assembly - District 12,County Supervisor / Father,Marin
Mary Sackett,County Supervisor - District 1,Marin County Supervisor,Marin
Mark Galperin,County Supervisor - District 1,Housing Advisory Boardmember,Marin
Curtis G Aikens,County Supervisor - District 5,Chef / Educator / Author,Marin
Chris Carpiniello,County Supervisor - District 5,Homebuilder / Business Owner,Marin
Marc Lewis,County Supervisor - District 5,Community Policy Advocate,Marin
Magali Limeta,County Supervisor - District 5,"Trustee, Novato Unified School District",Marin
Andy Podshadley,County Supervisor - District 5,Winemaker / Business Owner,Marin
Shelly Scott,Assessor-Recorder-County Clerk,Assessor Recorder County Clerk,Marin
John Carroll,County Superintendent of Schools,Marin County Superintendent Of Schools,Marin
Michael Boorstein,Ross Valley Sanitary District Director,Incumbent,Marin
Thomas Gaffney,Ross Valley Sanitary District Director,Incumbent,Marin
Pamela Meigs,Ross Valley Sanitary District Director,Incumbent,Marin
Akinyemi Agbede,Governor,Mathematician,Contra Costa
Mohammad Arif,Governor,Immigrants Organizer,Contra Costa
James Athans Jr.,Governor,Real Estate Agent,Contra Costa
Larry Azevedo,Governor,Businessman,Contra Costa
Naomi Bar-Lev,Governor,Musician/Proprietor/Writer,Contra Costa
Xavier Becerra,Governor,Voting Rights Attorney,Contra Costa
Chad Bianco,Governor,Riverside County Sheriff,Contra Costa
Carolina Buhler,Governor,Civil Rights Advocate,Contra Costa
Joseph Cabrera,Governor,Business Administrator,Contra Costa
Elaine Culotti,Governor,Entrepreneur/Farmer/Developer,Contra Costa
Louis A. De Barraicua,Governor,Teacher/Business Owner,Contra Costa
Patricia De Luca Basualdo,Governor,Real Estate Broker,Contra Costa
LivingForGod AndCountry DeMott,Governor,Logistical Professional/Chaplain,Contra Costa
Randeep S. Dhillon,Governor,Economist/Farmer/Businessman,Contra Costa
Sophia Edum-a-Sam,Governor,Project Manager,Contra Costa
Serge Fiankan,Governor,Real Estate Broker,Contra Costa
Lukasz Adam Filinski,Governor,Father,Contra Costa
Max Fomin,Governor,Business Owner/Father,Contra Costa
Derek Grasty,Governor,District Trustee/Educator,Contra Costa
Don J. Grundmann,Governor,Doctor of Chiropractic,Contra Costa
Jon Henderson,Governor,Business Owner,Contra Costa
Lewis Herms,Governor,No Ballot Designation,Contra Costa
Rafael M. Hernandez,Governor,Businessman/Songwriter/Author,Contra Costa
Steve Hilton,Governor,Small Business Owner,Contra Costa
Joel E. Jacob,Governor,Business Owner/Entrepreneur,Contra Costa
Dawit Kellel,Governor,Father,Contra Costa
Gary Howard Kidgell,Governor,Building Consultant,Contra Costa
Alicia Olivia Lapp,Governor,No Ballot Designation,Contra Costa
Anne Komarovsk,Governor,Communications Executive,Contra Costa
Matthew Chase Levy,Governor,Entrepreneur/Physicist,Contra Costa
Duane Terrence Loynes Jr.,Governor,No Ballot Designation,Contra Costa
Matt Mahan,Governor,"Mayor, San Jose",Contra Costa
Amanda Martin,Governor,Mother/Builder/Entrepreneur,Contra Costa
Brent Maupin,Governor,Civil Engineer,Contra Costa
Daniel Mercuri,Governor,Father/Author/Businessman,Contra Costa
Leo Naranjo IV,Governor,Retired Military Sergeant,Contra Costa
Tim Nelson,Governor,Diplomat/Rights Advocate,Contra Costa
Barack D. Obama Shaw,Governor,Business Owner,Contra Costa
Mauro Alberto Orozco,Governor,Small Business Owner,Contra Costa
Thunder Parley,Governor,Market Analyst,Contra Costa
Katie Porter,Governor,Consumer Protection Advocate,Contra Costa
Raji Rab,Governor,Aviator/Educator/Entrepreneur,Contra Costa
Satish Rao,Governor,Professor,Contra Costa
Ramsey Robinson,Governor,School Social Worker,Contra Costa
Reza Safarnejad,Governor,Small Business Owner,Contra Costa
Sam Sandak,Governor,Filmmaker,Contra Costa
Christine R. Sarmiento,Governor,Public Health Nurse,Contra Costa
Frederic C. Schultz,Governor,Human Rights Attorney,Contra Costa
Scott P Shields,Governor,Chief Executive Officer,Contra Costa
Gretha Solórzano,Governor,Retired Nuclear Engineer,Contra Costa
Tom Steyer,Governor,Climate Advocate,Contra Costa
Eric Swalwell,Governor,U.S. Representative,Contra Costa
Tony K. Thurmond,Governor,California State Superintendent of Public Instruction,Contra Costa
Margaret Trowe,Governor,Hotel Worker,Contra Costa
Antonio Villaraigosa,Governor,Housing Affordability Advocate,Contra Costa
Tom Woodard,Governor,Retired CEO,Contra Costa
Betty T. Yee,Governor,Family Care Navigator,Contra Costa
Nancy D. Young,Governor,CEO/Businesswoman/Pastor,Contra Costa
Leo Samuel Zacky,Governor,Farmer/Businessman/Broadcaster,Contra Costa
"Erin ""Zez"" Zezulak",Governor,Consultant/Nurse/Businesswoman,Contra Costa
David Zickefoose,Governor,Real Estate Investor,Contra Costa
