Race/Measure name,Candidate Name/Measure Juristiction,Profession/Description,Party,County
Measure C,City of El Cerrito,"Shall the measure to fund planning/construction/furnishing a new El Cerrito library, including a new building, and the City’s library operating costs for ten years after completing construction, by authorizing an annual parcel tax of up to $0.17 per square foot of improvements ($100 per vacant parcel), subject to annual inflation adjustments, generating approximately $3,100,000 annually, expiring 30 years after the initial issuance of bonds, with independent audits/citizen oversight and senior exemptions, be adopted?",,Contra Costa County
Measure D,City of Pinole,Shall the electors elect a mayor and four city council members?,,Contra Costa County
Measure E,City of Pinole,Shall the term of office of mayor be two years?,,Contra Costa County
Measure F,City of Pinole,Shall the term of office of mayor be four years?,,Contra Costa County
Measure G,Contra Costa Community College District,"To prepare students at Contra Costa, Diablo Valley, and Los Medanos Colleges for jobs and university transfer; update classrooms for science, nursing, and emergency response programs; meet earthquake, fire, and accessibility codes; repair outdated electrical, plumbing/ventilation systems; shall Contra Costa Community College District’s measure be adopted, authorizing $920,000,000 in bonds at legal rates, levying approximately $10 per $100,000 of assessed valuation, generating $57,000,000 annually while bonds are outstanding, with oversight, audits, no administrator salaries, and all funds used locally?",,Contra Costa County
Measure H,Lafayette School District,"Shall the measure to continue funding for core academic programs including math, science, engineering, technology, reading, music, and arts; attract and retain highly qualified teachers; and maintain manageable class sizes in Lafayette elementary and middle schools, by replacing the expiring school parcel tax with $585 per parcel for 9 years, providing $5.1 million annually in locally controlled funding with an exemption for seniors, annual inflation adjustments, independent audits, and community oversight, be adopted?",,Contra Costa County
Measure I,Moraga School District,"Teacher Retention and Academic Preservation Measure Shall the local school funding measure to attract and retain the best qualified teachers, continue effective science, technology, engineering, math, arts, music and reading programs, maintain manageable class sizes and prevent academic cuts and teacher/educator layoffs by levying $295 per parcel, providing $1,700,000 annually, for 7 years, with senior exemptions, inflation adjustments, independent oversight, audits, and all funds supporting local elementary and middle school students, be adopted?",,Contra Costa County
Measure J,Oakley Union Elementary School District,"Oakley Union Elementary School District Student Safety/ Security Measure. To provide safe elementary/ middle schools by upgrading to current earthquake/ building safety codes; improving school security, classroom locks, fencing, lighting, emergency communications, and cameras; and upgrading fire safety, alarms, smoke detectors, sprinklers, and evacuation routes; shall Oakley Union Elementary School District’s measure be adopted authorizing $59,000,000 in bonds at legal rates, levying $28 per $100,000 of assessed value ($4,000,000 annually) while bonds are outstanding, requiring independent oversight, audits, and all funds locally controlled?",,Contra Costa County
Measure K,Oakley Union Elementary School District,"Oakley Union Elementary School District Classroom Repair/ Upgrade Measure. To repair local elementary/ middle schools by fixing deteriorating plumbing, roofs, heating, ventilation, and electrical systems; removing lead/asbestos/hazardous materials; and upgrading aging classrooms/ labs supporting student achievement in math, science, technology, reading, writing, arts/ music; shall Oakley Union Elementary School District’s measure be adopted authorizing $64,000,000 in bonds at legal rates, levying $30 per $100,000 of assessed value ($4,400,000 annually) while bonds are outstanding, requiring independent oversight and all funds locally controlled?",,Contra Costa County
Measure L,Walnut Creek School District,"Walnut Creek School District Quality Teaching/ Academic Instruction Measure. Shall Walnut Creek School District’s measure providing locally-controlled funding for quality academic programs in math, science, engineering, technology, reading, music/ arts preparing students for high school, college, and careers; attract/ retain qualified teachers; and maintain manageable class sizes by levying a $98 parcel tax for nine years, with senior exemptions, annual inflation adjustments, independent audits/ oversight, and all funds (approximately $1,500,000 annually) benefiting local elementary and middle school students, be adopted?",,Contra Costa County
Measure B SMART sales tax,Sonoma-Marin Area Rail Transit District,"Without increasing taxes, continue Sonoma-Marin Area Rail Transit District regional train and bicycle/pedestrian pathway service beyond 2029 to serve residents including seniors, youth, essential workers, and low-income households; relieve traffic congestion; complete planned rail/pathway expansion; increase ridership; preserve community’s historic rail infrastructure investment; maintain clean/safe trains; reduce greenhouse gas emissions, shall the measure extending the ¼ cent, voter-approved, sales tax for 30 years, generating approximately $51,000,000 annually beginning in 2029, be adopted?",,Marin County
Measure C Kentfield School District parcel tax,Kentfield School District,"To protect quality education/local funding that cannot be taken by the State, shall Kentfield School District’s measure be adopted, maintaining quality core academics, including math, science, reading/writing; attracting/retaining exceptional teachers; and preventing class size increases by renewing the expiring school parcel tax at the current $1,842 rate, adding $148/parcel, providing $5,900,000 annually for 10 years, with senior exemptions, annual adjustments, independent oversight, and all funds locally controlled?",,Marin County
Measure D Larkspur-Corte Madera School District bond,Larkspur-Corte Madera School District,"To maintain safe, modern elementary and middle schools without increasing current tax rates, by upgrading emergency, safety and security systems; repairing deteriorating roofs, HVAC, plumbing/electrical; updating science, technology, engineering, art, music, and math classrooms/labs; and improving water and drainage systems; shall Larkspur-Corte Madera School District’s measure be adopted, authorizing $44,000,000 in bonds at legal rates, levying approximately $24/$100,000 assessed value ($3,400,000 annually), while bonds are outstanding, with independent audits, oversight, and all funds spent locally?",,Marin County
Measure E Mill Valley Elementary School District parcel tax,Mill Valley School District,"To retain/ attract highly qualified teachers; protect quality academic programs in reading/ writing, science, technology, engineering, and math; and prevent cuts equaling approximately one-quarter of the District’s budget, shall Mill Valley Elementary School District’s measure be adopted reauthorizing the expiring school parcel tax at the current rate of $1,520, and restoring the recently expired $234 per parcel, providing $14,900,000 annually for 8 years, with annual adjustments, independent oversight, senior exemptions and local control?",,Marin County
Measure G Novato USD parcel tax,Novato Unified School District,"Shall the measure to preserve excellent education and quality teaching for Novato Unified School District students, with local funding the State cannot take away, and to maintain quality core academic instruction in math, science, reading and writing; and attract and retain qualified teachers and counselors; by levying $249 per parcel, providing $4,000,000 annually, for 8 years, with independent citizens’ oversight, exemptions for senior citizens, no funds for administrators, with all funds staying local for Novato students be adopted?",,Marin County
Measure I Sausalito Marin City School District bond,Sausalito Marin City School District,"To improve and maintain local play fields and recreation facilities to support children's health, fitness, and recreation activities, improve play area safety, add restrooms where needed; and improve access to facilities for children with disabilities, acquire, construct, repair facilities, equipment, shall Sausalito Marin City School District’s measure authorizing $12,500,000 in bonds at legal rates be adopted, levying $8 per $100,000 assessed value, (averaging $860,000 annually while bonds are outstanding), with independent oversight/audits and all money staying local?",,Marin County
Measure J Fairfax sales tax,Town of Fairfax,"Shall the measure to extend the Town’s sales tax by removing its sunset and to increase its rate from ¾% to 1%, generating approximately $1,300,000 annually in local funds until ended by voters and that cannot be taken away by the State, to maintain general Town services, such as public safety and emergency response, improve infrastructure such as repairing and repaving streets, subject to annual independent audits, be adopted?",,Marin County
Measure K San Rafael parcel tax for libraries,City of San Rafael,"To continue existing local library funding to maintain safe places for youth after school; book/ digital collections; children/adult programs; library hours and technology access, shall the City of San Rafael measure extending the library services parcel tax at $74.18 per parcel (with multifamily parcels adding $12.54 per unit, to a maximum of $1,259), generating approximately $1,267,000 annually for nine years, with senior exemptions, annual inflation adjustments, resident oversight and public disclosure, be adopted?",,Marin County
Measure L Firehouse Community Park Agency parcel tax,Firehouse Community Park Agency,"To maintain, protect, and improve Mesa Park and Downtown Park for community recreation; ensure safe, accessible park facilities for all ages; and provide stable local funding, shall the Firehouse Community Park Agency replace the expiring $75 parcel tax with a $150 annual parcel tax for four years beginning 2026–27, raising about $210,000 annually, with annual increases up to 3%, requiring funds remain local for park maintenance and improvements with annual public accountability reports?",,Marin County
Measure M Muir Beach Community Services District parcel tax,Muir Beach Community Services District,"To provide critical funding for fire protection services, including firehouse maintenance, emergency preparedness and equipment upgrades, shall Muir Beach CSD Ordinance No. 2026-1, which imposes an annual $386.00 parcel tax for 10 years, with the amount of $61,374 to be raised annually, and with annual CPI adjustment, be approved and shall the Muir Beach CSD appropriations limit be increased by the amount of this voter approved tax?",,Marin County
Measure A - Mendocino County Career Training/Affordable Education Measure,Mendocino Lake Community College District,"To repair classrooms/ labs, leaky roofs, electrical; maintain clean drinking water, remove mold, asbestos, lead paint; to train students for careers in trades, construction, wildland firefighting, healthcare/ nursing/ EMT; construct, acquire, repair facilities/ sites/ equipment; shall Mendocino Lake Community College District's measure authorizing $98,000,000 in bonds at legal rates be adopted, levying $24 per $100,000 of assessed valuation ($6,100,000 annually, while bonds are outstanding) with public spending disclosure, oversight, audits, no state takeaways?",,Mendocino County
Measure A Soledad parcel tax,City of Soledad,"To ensure fire/emergency medical 911 response, including improved 24/7 staffing, lifesaving equipment/training, and disaster preparedness, shall the City of Soledad’s measure, levying an annual parcel tax of $233.00/single-family unit, $174.00/multi-unit, $99.00-$134.00 plus $.07 per building square foot for non-residential parcels, adjusted yearly by 3% or less, providing $1,000,000 annually until ended by voters, with funds exclusively for reliable 911 emergency medical/fire response and requiring local control/oversight, be adopted?",,Monterey County
Measure B Gonzales parcel tax,City of Gonzales,"To ensure fire/emergency medical 911 response, including 24-hour staffing, updated lifesaving equipment/training, and disaster preparedness, shall the City of Gonzales’ measure, levying an annual parcel tax of $349.00/single-family unit, $262.00/multi-unit, $148-$201 plus $.07 per building square foot for non-residential parcels, adjusted annually, providing approximately $665,000 per year until ended by voters, with funds dedicated exclusively to reliable 911 emergency medical/fire response and requiring local control/oversight, be adopted?",,Monterey County
Measure C Pacific Grove councilmember compensation,City of Pacific Grove,"Shall the Measure, increasing the compensation of the City of Pacific Grove City Councilmembers from $420 a month to $987 and the City of Pacific Grove Mayor from $700 a month to $1645 and with such new compensation taking effect on the date a Councilmember begins a new term of office in December 2026, be adopted?",,Monterey County
Measure D Monterey city sales tax,City of Monterey,"Shall the measure to protect the City of Monterey’s financial stability / quality of life by maintaining services such as police; fire; 9-1-1 emergency response / preparedness; and other unrestricted general fund expenditures, by enacting a 0.375 percent sales tax that expires in nine years, with all funds locally controlled, with public reports / independent audits, providing approximately $4,500,000 annually, be adopted?",,Monterey County
"Board of Supervisors, District 4",Albert Chow,,,San Francisco County
"Board of Supervisors, District 4",Natalie Gee,,,San Francisco County
"Board of Supervisors, District 4",Jeremy Greco,,,San Francisco County
"Board of Supervisors, District 4",David Lee,,,San Francisco County
"Board of Supervisors, District 4",Alan Wong,,,San Francisco County
"Board of Supervisors, District 2",Lori Brooke,,,San Francisco County
"Board of Supervisors, District 2",Stephen Sherrill,,,San Francisco County
Board of Education (1 seat),Virginia Cheung,Non-profit Educator/Mother,,San Francisco County
Board of Education (1 seat),Phillip Kim,School Board President,,San Francisco County
Board of Education (1 seat),Brandee Marckmann,Mom/Nonprofit Director,,San Francisco County
"Superior Court Judge, Seat 16",Phoebe Maffei,San Francisco Assistant District Attorney,,San Francisco County
"Superior Court Judge, Seat 16",Alexandra Pray,City & County of San Francisco Deputy Public Defender,,San Francisco County
Measure A - Earthquake Safety and Emergency Response Bond,City and County of San Francisco,"To improve fire, earthquake, and emergency response by retrofitting, improving, expanding, constructing, and/or replacing: deteriorating pipes, tunnels, and related facilities to ensure firefighters can access enough water to fight fires from a major disaster or emergency; unsafe or deteriorating emergency response facilities, including neighborhood fire stations, critical transportation facilities, and public safety facilities; and to pay related costs, shall the City and County of San Francisco's issuance of $535,000,000 in general obligation bonds be adopted, with a duration up to 30 years from the time of issuance, an estimated average tax rate of $7.45/$100,000 of assessed property value, and estimated average annual revenues of $35,900,000, subject to independent citizen oversight and regular audits?",,San Francisco County
Measure B - Lifetime Term Limits for Mayor and Board of Supervisors,City and County of San Francisco,Shall the City amend the Charter to set lifetime term limits for the Mayor and members of the Board of Supervisors so that people may not serve more than two four-year terms in those offices?,,San Francisco County
Measure C - Decreases to Business Taxes,City and County of San Francisco,"Shall the City permanently change the taxes it collects by exempting most businesses with up to $7.5 million in San Francisco gross receipts from both the gross receipts tax and the top executive pay tax on some businesses whose highest-paid managerial employee earns more than 100 times the median compensation paid to their San Francisco employees, and by increasing the rates of the top executive pay tax to either between 0.021% and 0.129% of their San Francisco gross receipts or between 0.086% and 0.514% of their San Francisco payroll expense, for an estimated annual revenue decrease of $30-$40 million?",,San Francisco County
Measure D - Increases to Business Tax Based on Executive Pay Ratio,City and County of San Francisco,"Shall the City permanently change the top executive pay tax it collects from some large businesses when their highest-paid managerial employee earns more than 100 times the median compensation paid to their San Francisco employees, by changing the tax to be calculated using the compensation of all employees, not just those based in San Francisco, and shall the City increase the top executive pay tax rates for these businesses to either between 0.183% and 1.121% of their gross receipts or between 0.75% and 4.47% of their payroll expense in San Francisco, for an estimated annual revenue increase of $250-$300 million?",,San Francisco County
Stockton City Council District 5,Ruben Harper,,,San Joaquin County
Stockton City Council District 5,Brando Villapudua,City Councilmember,,San Joaquin County
Stockton City Council District 5,Mary Elizabeth,Scientist/REHS,,San Joaquin County
Stockton City Council District 5,Desiree Lynch,Post-Surgery Recovery Nurse,,San Joaquin County
Stockton City Council District 5,Max Beas,Small Business Owner,,San Joaquin County
Stockton City Council District 3,Joey Veltri,Realtor/Business Owner,,San Joaquin County
Stockton City Council District 3,Michael Blower,Councilmember/Business Owner,,San Joaquin County
Stockton City Council District 3,Stefanie Alfaro,,,San Joaquin County
Stockton City Council District 3,Jessica Toccoli,Educator,,San Joaquin County
Stockton City Council District 1,Tamica Small,Retired Law Enforcement,,San Joaquin County
Stockton City Council District 1,Michele Padilla,Stockton City Councilmember,,San Joaquin County
Stockton City Council District 1,Lan Nguyen,,,San Joaquin County
Stockton City Council District 1,Annette Sanchez,Retired Nonprofit Administrator,,San Joaquin County
Stockton City Council District 1,Shelly B. Hollis,,,San Joaquin County
Assessor-Recorder-County Clerk,Steve J. Bestolarides,San Joaquin County Assessor-Recorder-County Clerk,,San Joaquin County
Assessor-Recorder-County Clerk,Zachary Avelar,United States Marine,,San Joaquin County
San Joaquin County Supervisor District 4,Steven J. Ding,Restaurateur/County Supervisor,,San Joaquin County
San Joaquin County Supervisor District 4,Travis Castle,Rancher/Paramedic/Businessman,,San Joaquin County
San Joaquin County Supervisor District 2,Paul Canepa,Incumbent,,San Joaquin County
San Joaquin County Supervisor District 2,Lauren Cardinalli,Mother/Salesperson/Coach,,San Joaquin County
Assessor-County Clerk-Recorder,David Canepa,San Mateo County Supervisor,,San Mateo County
Assessor-County Clerk-Recorder,Jim Irizarry,Assistant Assessor County of San Mateo,,San Mateo County
"Member, Board of Supervisors, District 3",Joaquin Jiménez,Community Organizer,,San Mateo County
"Member, Board of Supervisors, District 3",Ray Mueller,San Mateo County Supervisor / Educator,,San Mateo County
County Superintendent of Schools,Chelsea Bonini,Teacher / Attorney / Trustee,,San Mateo County
County Superintendent of Schools,Héctor Camacho Jr,Teacher / Executive Director,,San Mateo County
"Judge of the Superior Court, Office No. 4",Brian Donnellan,County of San Mateo Deputy District Attorney,,San Mateo County
"Judge of the Superior Court, Office No. 4",Jay Boyarsky,Chief Deputy District Attorney County of Santa Clara,,San Mateo County
Measure A - Ravenswood City School District Bond,Ravenswood City School District,Bond measure requiring 55% voter approval to fund school facilities and improvements,,San Mateo County
Measure B - Brisbane School District Parcel Tax,Brisbane School District,Parcel tax requiring 2/3 voter approval,,San Mateo County
Measure C - Redwood City Elementary School District Parcel Tax,Redwood City Elementary School District,Parcel tax requiring 2/3 voter approval,,San Mateo County
"Board of Supervisors, District 1",Rebecca Munson,Educator/Board Member,,Santa Clara County
"Board of Supervisors, District 1",Sylvia Arenas,Santa Clara County Supervisor,,Santa Clara County
District Attorney,Jeff Rosen,Santa Clara County District Attorney,,Santa Clara County
District Attorney,Daniel Chung,Deputy District Attorney,,Santa Clara County
"City of San José Council, District 5",Karen Martínez,Governing Board Member,,Santa Clara County
"City of San José Council, District 5",Vy Dang,Small Business Owner,,Santa Clara County
"City of San José Council, District 5",Nora Campos,Businesswoman/Policy Analyst,,Santa Clara County
"City of San José Council, District 5",Peter Ortiz,"Councilmember, City Of San Jose, District 5",,Santa Clara County
"City of San José Council, District 7",Van Le,Trustee East Side Union High School District,,Santa Clara County
"City of San José Council, District 7",Bien Doan,"Council Member, City of San Jose, District 7",,Santa Clara County
"City of San José Council, District 7",HG Hanh-Giao Nguyen,Public Affairs Director,,Santa Clara County
"City of San José Council, District 7",Rafael García,Union Electrician,,Santa Clara County
"City of San José Council, District 9",Mike Hennessy,Business Owner/Instructor,,Santa Clara County
"City of San José Council, District 9",Scott Hughes,Chief of Staff,,Santa Clara County
"City of San José Council, District 9",Gordon Chester,City of San Jose Infrastructure Engineer,,Santa Clara County
"City of San José Council, District 9",Rick Ator,Product Manager,,Santa Clara County
"City of San José Council, District 9",Genny Altwer,Business Owner/Mother,,Santa Clara County
Measure A - City of San Jose Transient Occupancy Tax,City of San Jose,"To fund essential city services including police and fire emergency response; address homeless encampments impacting parks, neighborhoods, and waterways; remove trash, illegal dumping, and graffiti; and maintain trails, playgrounds, recreational facilities, and park restrooms, shall an ordinance be adopted increasing the general fund transient occupancy (hotel) tax from 4% to 6%, generating approximately $10 million annually, and paid by hotel/motel guests, until repealed by voters?",,Santa Clara County
Measure B - Palo Alto Unified School District Parcel Tax Renewal,Palo Alto Unified School District,"To renew local school funding for advanced programs in science, technology, math, engineering, reading, and writing that can't be taken by the State; attract and retain highly qualified teachers; and support at-risk students; shall Palo Alto Unified School District's measure be adopted, renewing the expiring school parcel tax at a reduced rate ($800 per parcel) for four years, with senior exemptions, independent citizen oversight, and with all funds (approximately $14.6 million annually) benefiting local students?",,Santa Clara County
Measure C - Franklin-McKinley School District General Obligation Bond,Franklin-McKinley School District,"To improve the quality of education; replace leaky roofs; make health, safety and security improvements; replace outdated HVAC systems; and modernize/construct classrooms, restrooms and school facilities; shall Franklin-McKinley School District's measure be adopted authorizing $142,000,000 of bonds at legal rates, generating on average $8,000,000 annually while bonds are outstanding at a rate of approximately $30 per $100,000 assessed value, with annual audits, independent citizens' oversight committee, and no money taken by the State?",,Santa Clara County
Measure D - Santa Clara Valley Open Space Authority Parcel Tax,Santa Clara Valley Open Space Authority,"To restore and protect natural open spaces and waterways by: managing land and creeks to reduce wildfires, floods, and water pollution; expanding trails; preserving family farms; reducing illegal activity in open spaces; shall Santa Clara Valley Open Space Authority's measure levying an annual parcel tax of $0.02 per square foot of building area, generating approximately $17,000,000 annually until ended by voters, with audits, citizen oversight, exemptions for seniors and special low-income owners, and all funds spent locally, be adopted?",,Santa Clara County
Superior Court Judge - Office 3,Bryan Joseph Hackett,Criminal Defense Attorney,,Santa Cruz County
Superior Court Judge - Office 3,Alisa Thomas,Immigration Attorney,,Santa Cruz County
County Supervisor - 4th District,Elias Gonzales,Community Organizer,,Santa Cruz County
County Supervisor - 4th District,Felipe Hernandez,Santa Cruz County Supervisor,,Santa Cruz County
County Supervisor - 4th District,Tony Nuñez,Community Health Advocate,,Santa Cruz County
"City of Santa Cruz, Mayor",Gillian Greensite,Retired University Educator,,Santa Cruz County
"City of Santa Cruz, Mayor",Joy Schendledecker,Shelter Operations Manager,,Santa Cruz County
"City of Santa Cruz, Mayor",Ryan Coonerty,Educator/Policy Advisor,,Santa Cruz County
"City of Santa Cruz, Mayor",Chris Krohn,Radio Host/Writer,,Santa Cruz County
"City of Santa Cruz, Mayor",Ami Chen Mills,Lecturer/Educator/Consultant,,Santa Cruz County
"City of Santa Cruz, Councilmember - District 4",Scott Newsome,University Educator/Councilmember,,Santa Cruz County
"City of Santa Cruz, Councilmember - District 4",Hector Marin,Public School Paraeducator,,Santa Cruz County
"City of Santa Cruz, Councilmember - District 6",Renée Golder,Elementary School Principal,,Santa Cruz County
"City of Santa Cruz, Councilmember - District 6",Gabriella Noack,Student,,Santa Cruz County
3rd Supervisorial District,Eldon Brooke Parker,,,Solano County
3rd Supervisorial District,Wanda Williams,,,Solano County
3rd Supervisorial District,"Catherine ""Cat"" Moy",,,Solano County
4th Supervisorial District,Juan P. Desmarais,,,Solano County
4th Supervisorial District,John Carli,,,Solano County
4th Supervisorial District,"Michael ""Mike"" Silva",,,Solano County
"County Supervisor, 2nd District",Joanna Paun,"Trustee, Petaluma Jt. Union High School District, Area 5",,Sonoma County
"County Supervisor, 2nd District",Shelina Moreda,Professional Athlete/Farmer,,Sonoma County
"County Supervisor, 2nd District",Sylvia Lemus,Councilmember/Businesswoman/Mom,,Sonoma County
"County Supervisor, 2nd District",John E. King,Operating Engineer/Farmer,,Sonoma County
"County Supervisor, 4th District",Todd Lands,Councilman/Small Businessman,,Sonoma County
"County Supervisor, 4th District",Melanie Bagby,Business Owner,,Sonoma County
"County Supervisor, 4th District",Tom Schwedhelm,Small Business Owner,,Sonoma County
Measure A - Twin Hills Union School District Bond,Twin Hills Union School District,"To improve the quality of education; modernize and renovate classrooms, restrooms and school facilities; and make health, safety and security improvements; shall Twin Hills Union School District's measure be adopted authorizing $14,000,000 of bonds at legal interest rates, generating on average $964,000 annually as long as bonds are outstanding, projected rates not exceeding $30 per $100,000 assessed value, with annual audits, independent citizens' oversight committee, no money for salaries and no money taken by the State?",,Sonoma County
Measure B - Sonoma-Marin Area Rail Transit Sales Tax Extension,Sonoma-Marin Area Rail Transit District,"Without increasing taxes, continue Sonoma-Marin Area Rail Transit District regional train and bicycle/pedestrian pathway service beyond 2029 to serve residents including seniors, youth, essential workers, and low-income households; relieve traffic congestion; complete planned rail/pathway expansion; increase ridership; preserve community's historic rail infrastructure investment; maintain clean/safe trains; reduce greenhouse gas emissions, shall the measure extending the ¼ cent, voter-approved, sales tax for 30 years, generating approximately $51,000,000 annually beginning in 2029, be adopted?",,Sonoma County
Measure C - Bellevue Union School District Parcel Tax,Bellevue Union School District,"To support student success with funding that cannot be taken by the State; provide science, technology, engineering, math programs; promote library programs and literacy; maintain and expand programs in music and art; increase physical activity and athletic opportunities for student health; shall Bellevue Union School District's measure be adopted authorizing a parcel tax for four years at $49 per parcel, raising approximately $350,000 annually, with no funds for administrators' salaries, exemption for seniors, and all funds staying local?",,Sonoma County
"Superior Court Judge, Office #13",CABRAL  BONNER,Civil Rights Attorney,,Alameda
"Superior Court Judge, Office #13",MICHAEL P. JOHNSON,Consumer Protection Attorney,,Alameda
"Superior Court Judge, Office #19",PATRICIA  MILES,Administrative Law Judge,,Alameda
"Superior Court Judge, Office #19",SELIA  WARREN,Trial Attorney,,Alameda
"Member, Board Of Education, 4th Trustee Area",JOSEPH  GRCAR,Retired Laboratory Scientist,,Alameda
"Member, Board Of Education, 4th Trustee Area",MARK  HARVEY,Consultant/Father/Businessowner,,Alameda
"Member, Board Of Education, 4th Trustee Area",AISHA  KNOWLES,"Alameda County Board of Education, Trustee Area 4",,Alameda
"Member, Board Of Education, 4th Trustee Area",LUIS  REYNOSO,University Business Professor,,Alameda
"Member, Board Of Education, 7th Trustee Area",CHERYL  COOK-KALLIO,Alameda County Board of Education Trustee,,Alameda
"Member, Board Of Education, 7th Trustee Area",SANGEETHA  SHANBHOGUE,Parent/Homemaker,,Alameda
"Supervisor, 2nd District",LIZ  AMES,Engineer/BART Director,,Alameda
"Supervisor, 2nd District",ROHAN  MARFATIA,Business Executive/Parent,,Alameda
"Supervisor, 2nd District",ELISA  MÁRQUEZ,Alameda County Supervisor,,Alameda
District Attorney,URSULA  JONES DICKSON,Appointed Alameda County District Attorney,,Alameda
District Attorney,GOPAL  KRISHAN,Trial Attorney,,Alameda
District Attorney,PAMELA  PRICE,Civil Rights Attorney,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",SEEMA  BADAR,Community Volunteer,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",ALAN  BURNHAM,Chemist/Business Owner,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",JIM  LEHRMAN,Hydrogeologist/Geologist,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",PATRICIA  MUGA,Real Estate Appraiser,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",SARAH  PALMER,Incumbent,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",RISH  RAO,Educator,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",SEAN  ROBERTS,Computer Engineer,,Alameda
"Flood Control & Water Conservation District Director, Zone 7",HEIDI  TURNER-ZIKA,Information Security Officer,,Alameda
County Assessor,Vince Robb,Assistant County Assessor,Non Partisan,Contra Costa
County Assessor,Nick Spinner,Senior Systems Engineer,Non Partisan,Contra Costa
County Assessor,Kismat Kathrani,Software Technology Entrepreneur,Non Partisan,Contra Costa
County Auditor-Controller,Deepika Naharas,N/A,Non Partisan,Contra Costa
County Auditor-Controller,Peter Karumbi,N/A,Non Partisan,Contra Costa
